Ticker,EvalDate,Price,EntryTimeET,Change%,RelVol(TimeAdj63d),Resistance,TP,RR_to_Res,RR_to_TP,SupportType,SupportPrice,Risk$,TPReward$,TPReward%,ResReward$,ResReward%,DailyATR,DailyCap,Hist21d_PassCount,Hist21d_Max%,Hist21d_Examples,ResLookbackDays,Prices,Session,EntrySrc,VolSrc,OptExpiry,BuyK,SellK,Width,DebitMid,DebitCons,MaxProfitMid,MaxProfitCons,RR_Spread_Mid,RR_Spread_Cons,BreakevenMid,PricingNote
MDLZ,2025-09-02,61.67,2025-09-02 10:35:16 ET,0.37,1.1,66.29,63.98,3.28,1.64,SwingLow21,60.26,1.41,2.31,3.75,4.62,7.49,0.95,19.95,43,18.96,2025-02-04:+18.96%; 2025-02-05:+17.95%; 2025-02-06:+17.85%,21,"62.66,63.17,62.94,63.41,61.96,62.05,61.76,61.28,61.44,61.67",OPEN,daily_partial_close,daily_partial,2025-10-03,61.0,63.0,2.0,1.38,2.45,0.62,0.0,0.45,0.0,62.38,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
KR,2025-09-02,68.26,2025-09-02 10:34:47 ET,0.63,1.11,74.9,71.58,4.41,2.2,SwingLow21,66.76,1.505,3.3175,4.86,6.635,9.72,1.6629,34.92,81,13.13,2025-03-05:+13.13%; 2025-01-17:+12.15%; 2025-06-11:+11.84%,21,"70.72,71.83,71.42,69.56,70.14,68.99,67.98,67.46,67.84,68.26",OPEN,daily_partial_close,daily_partial,2025-10-03,67.0,72.0,5.0,1.8,4.5,3.2,0.5,1.78,0.11,68.8,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
WMT,2025-09-02,97.24,2025-09-02 10:37:15 ET,0.27,1.43,104.72,100.98,4.11,2.05,SwingLow21,95.42,1.82,3.74,3.85,7.48,7.69,1.6929,35.55,90,19.12,2025-04-08:+19.12%; 2025-04-04:+18.46%; 2025-04-07:+17.89%,21,"101.29,102.57,97.96,96.83,96.07,96.05,96.08,96.11,96.98,97.24",OPEN,daily_partial_close,daily_partial,2025-10-03,96.0,101.0,5.0,2.08,2.18,2.92,2.82,1.4,1.29,98.08,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
DLTR,2025-09-02,111.4,2025-09-02 10:33:03 ET,2.04,1.6,118.06,114.73,33.3,16.65,PivotLow,111.2,0.2,3.33,2.99,6.66,5.98,2.7643,58.05,138,24.89,2025-04-03:+24.89%; 2025-04-10:+24.06%; 2025-04-04:+24.04%,21,"112.48,113.35,112.59,113.32,111.8,111.98,112.86,112.5,109.17,111.4",OPEN,daily_partial_close,daily_partial,2025-10-03,110.0,115.0,5.0,2.68,6.27,2.32,0.0,0.86,0.0,112.69,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
CLX,2025-09-02,118.76,2025-09-02 10:32:37 ET,0.48,1.35,127.6,123.18,3.95,1.98,SwingLow21,116.53,2.235,4.4175,3.72,8.835,7.44,2.1129,44.37,22,9.48,2025-06-25:+9.48%; 2025-06-26:+7.82%; 2025-06-24:+7.7%,21,"120.81,121.25,119.84,120.31,119.39,117.67,118.97,117.94,118.2,118.76",OPEN,daily_partial_close,daily_partial,2025-09-19,120.0,125.0,5.0,1.52,1.7,3.48,3.3,2.28,1.94,121.53,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
SBAC,2025-09-02,205.09,2025-09-02 10:36:23 ET,0.12,1.51,234.64,219.86,10.86,5.43,SwingLow21,202.37,2.72,14.775,7.2,29.55,14.41,5.1043,107.19,21,13.45,2025-04-08:+13.45%; 2025-04-09:+12.99%; 2025-04-07:+12.07%,21,"220.26,223.71,220.89,222.87,221.57,218.84,208.13,206.04,204.85,205.09",OPEN,daily_partial_close,daily_partial,2025-09-19,210.0,220.0,10.0,2.23,4.1,7.78,5.9,3.49,1.44,212.22,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
MMC,2025-09-02,206.43,2025-09-02 10:35:02 ET,0.3,1.39,213.8,210.11,3.44,1.72,PivotLow,204.29,2.14,3.685,1.79,7.37,3.57,2.8407,59.6549,70,9.17,2025-01-31:+9.17%; 2025-01-10:+9.03%; 2025-04-21:+8.82%,21,"210.93,211.21,211.11,210.55,207.01,206.42,206.37,206.44,205.81,206.43",OPEN,daily_partial_close,daily_partial,2025-09-19,200.0,210.0,10.0,7.0,8.45,3.0,1.55,0.43,0.18,207.0,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
CBOE,2025-09-02,236.9,2025-09-02 10:32:24 ET,0.4,1.16,255.27,246.08,6.38,3.19,SwingLow21,234.02,2.88,9.185,3.88,18.37,7.75,4.3632,91.6275,78,13.01,2025-04-07:+13.01%; 2025-04-09:+12.58%; 2025-01-07:+10.65%,21,"246.13,251.93,249.25,246.43,249.08,242.76,237.95,235.26,235.95,236.9",OPEN,daily_partial_close,daily_partial,2025-10-03,240.0,250.0,10.0,2.75,4.5,7.25,5.5,2.64,1.22,242.75,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
COIN,2025-09-02,309.08,2025-09-02 10:32:40 ET,1.49,1.13,345.39,327.24,2.06,1.03,SwingLow21,291.46,17.6225,18.1538,5.87,36.3075,11.75,13.6157,285.9302,119,83.83,2024-10-11:+83.83%; 2024-11-04:+77.67%; 2024-11-01:+69.15%,21,"302.07,304.39,300.28,319.85,306.0,308.48,308.97,308.47,304.54,309.08",OPEN,daily_partial_close,daily_partial,2025-10-03,320.0,325.0,5.0,2.02,4.7,2.98,0.3,1.47,0.06,322.02,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
DE,2025-09-02,479.17,2025-09-02 10:32:58 ET,0.11,1.33,520.17,499.67,4.73,2.37,SwingLow21,470.5,8.665,20.5025,4.28,41.005,8.56,13.5864,285.3149,80,19.2,2025-04-21:+19.2%; 2025-04-08:+18.64%; 2025-04-16:+17.47%,21,"489.44,492.72,486.76,495.99,487.9,487.76,493.08,491.44,478.64,479.17",OPEN,daily_partial_close,daily_partial,2025-10-03,490.0,500.0,10.0,3.68,10.81,6.32,0.0,1.72,0.0,493.68,ask(buy)-bid(sell)=DebitCons; mid-mid=DebitMid
